Project_ID,Project_Name,Region,Project_Type,Phase,Status,Department,Contractor,Start_Date,End_Date,Month_Name,Month_Number,Budget,Cost,Safety_Incidents,Issue_Resolution_Time_Days
P0427,Project_427,West,Industrial,Design,Pending,Procurement,UrbanCon,2025-01-13,2025-07-09,January,1,1703381,1645637,1,2
P0428,Project_428,North,Residential,Construction,Pending,Engineering,NextGen Infra,2025-04-27,2026-02-14,April,4,742424,736983,7,11
P0429,Project_429,West,Commercial,Construction,Completed,Safety,BuildCorp,2025-10-01,2025-12-01,October,10,1545160,1702920,1,13
P0430,Project_430,North,Industrial,Design,In Progress,Procurement,BuildCorp,2025-05-29,2026-02-14,May,5,1638391,1565437,1,5
P0431,Project_431,West,Commercial,Construction,Pending,Engineering,Titan Builders,2025-03-22,2025-10-04,March,3,661091,593483,6,13
P0432,Project_432,East,Industrial,Design,In Progress,Procurement,PrimeBuild,2025-01-06,2025-07-26,January,1,1364065,1226950,0,1
P0433,Project_433,West,Industrial,Finishing,Completed,Safety,SafeBuild,2025-06-26,2025-10-18,June,6,1065399,1243288,8,3
P0434,Project_434,South,Residential,Design,Pending,Safety,SafeBuild,2025-02-28,2025-06-14,February,2,1607142,1815879,0,14
P0435,Project_435,West,Industrial,Finishing,Completed,Safety,BuildCorp,2025-05-09,2025-08-02,May,5,614014,677844,7,6
P0436,Project_436,East,Residential,Finishing,Pending,Engineering,BuildCorp,2025-05-26,2025-12-30,May,5,346399,403569,5,8
P0437,Project_437,West,Commercial,Finishing,Pending,Safety,NextGen Infra,2025-03-20,2025-10-10,March,3,1388795,1357648,5,7
P0438,Project_438,South,Residential,Construction,Completed,Engineering,Skyline Co,2025-05-22,2026-02-21,May,5,953896,855651,5,15
P0439,Project_439,West,Commercial,Construction,In Progress,Safety,Titan Builders,2025-10-10,2026-01-05,October,10,568616,611798,1,14
P0440,Project_440,East,Residential,Finishing,Completed,Safety,BuildCorp,2025-02-08,2025-11-23,February,2,239070,274298,0,14
P0441,Project_441,West,Industrial,Design,Completed,Procurement,MegaConstruct,2025-10-06,2026-07-21,October,10,1331784,1352075,2,6
P0442,Project_442,West,Residential,Finishing,Pending,Safety,UrbanCon,2025-08-26,2026-03-02,August,8,1270411,1120113,5,9
P0443,Project_443,North,Industrial,Design,Pending,Procurement,UrbanCon,2025-09-21,2025-12-25,September,9,1135792,1028718,2,12
P0444,Project_444,West,Commercial,Design,Completed,Safety,SafeBuild,2025-02-02,2025-06-09,February,2,974761,908386,3,9
P0445,Project_445,East,Commercial,Construction,In Progress,Engineering,ABC Ltd,2025-11-29,2026-04-20,November,11,416478,456588,8,11
P0446,Project_446,East,Industrial,Construction,Pending,Procurement,NextGen Infra,2025-03-31,2025-09-03,March,3,1570856,1543336,1,9
P0447,Project_447,East,Commercial,Design,Pending,Safety,PrimeBuild,2025-06-26,2025-12-27,June,6,1862323,1897220,0,9
P0448,Project_448,South,Commercial,Design,Completed,Engineering,BlueRock,2025-11-26,2026-04-06,November,11,643583,580887,2,6
P0449,Project_449,North,Industrial,Design,In Progress,Safety,BuildCorp,2025-09-04,2026-04-24,September,9,1204147,1225409,2,11
P0450,Project_450,West,Residential,Design,Completed,Engineering,NextGen Infra,2025-10-31,2026-02-09,October,10,482536,516477,0,15
P0451,Project_451,South,Residential,Design,In Progress,Engineering,BlueRock,2025-07-27,2026-02-25,July,7,1381964,1483079,4,2
P0452,Project_452,South,Commercial,Finishing,In Progress,Safety,UrbanCon,2025-04-23,2026-01-20,April,4,1061440,1125437,2,10
P0453,Project_453,East,Residential,Finishing,Pending,Safety,Titan Builders,2025-11-02,2026-06-01,November,11,344374,320417,6,3
P0454,Project_454,North,Residential,Design,Pending,Procurement,Skyline Co,2025-03-18,2025-10-19,March,3,401952,366619,0,15
P0455,Project_455,North,Residential,Construction,Pending,Engineering,NextGen Infra,2025-10-04,2026-07-02,October,10,202517,235717,6,9
P0456,Project_456,West,Commercial,Design,Pending,Procurement,Skyline Co,2025-04-28,2026-02-22,April,4,1882545,1917829,6,6
P0457,Project_457,North,Commercial,Design,In Progress,Safety,SafeBuild,2025-02-12,2025-06-24,February,2,1454709,1682906,6,5
P0458,Project_458,South,Residential,Finishing,Pending,Engineering,NextGen Infra,2025-09-25,2025-12-24,September,9,1290019,1099764,3,12
P0459,Project_459,East,Commercial,Construction,Completed,Engineering,Skyline Co,2025-11-30,2026-06-27,November,11,731906,689057,8,7
P0460,Project_460,East,Industrial,Construction,Pending,Safety,SafeBuild,2025-07-31,2026-02-17,July,7,1843723,1926961,2,6
P0461,Project_461,West,Commercial,Construction,Pending,Safety,Skyline Co,2025-03-12,2025-12-15,March,3,1582616,1411187,3,8
P0462,Project_462,South,Residential,Design,Pending,Safety,PrimeBuild,2025-10-09,2026-05-14,October,10,1661835,1810731,0,3
P0463,Project_463,West,Industrial,Design,Completed,Engineering,Titan Builders,2025-11-04,2026-04-24,November,11,384844,335748,3,6
P0464,Project_464,North,Industrial,Design,Pending,Safety,Skyline Co,2025-11-11,2026-06-26,November,11,1292627,1228337,0,13
P0465,Project_465,South,Industrial,Construction,In Progress,Engineering,SafeBuild,2025-12-03,2026-09-27,December,12,1885921,1945051,3,1
P0466,Project_466,South,Industrial,Design,Pending,Engineering,PrimeBuild,2025-05-03,2025-12-16,May,5,200602,239012,1,5
P0467,Project_467,West,Commercial,Finishing,In Progress,Safety,NextGen Infra,2025-04-13,2025-10-22,April,4,232225,257287,1,15
P0468,Project_468,North,Industrial,Construction,Pending,Procurement,NextGen Infra,2025-06-28,2025-11-23,June,6,1910258,1808589,3,8
P0469,Project_469,West,Industrial,Design,In Progress,Engineering,Skyline Co,2025-09-17,2025-12-13,September,9,1371533,1200550,4,6
P0470,Project_470,North,Industrial,Construction,Pending,Procurement,MegaConstruct,2025-12-22,2026-06-13,December,12,990794,1037469,3,13
P0471,Project_471,East,Commercial,Finishing,In Progress,Procurement,ABC Ltd,2025-09-04,2025-12-02,September,9,740687,647096,3,11
P0472,Project_472,South,Commercial,Construction,In Progress,Procurement,BlueRock,2025-01-05,2025-09-01,January,1,1945201,1832714,4,2
P0473,Project_473,West,Industrial,Finishing,In Progress,Engineering,BlueRock,2025-04-02,2025-09-30,April,4,858238,835699,4,3
P0474,Project_474,South,Commercial,Finishing,Completed,Engineering,SafeBuild,2025-05-16,2025-09-05,May,5,680683,626887,3,14
P0475,Project_475,East,Residential,Design,Completed,Engineering,Titan Builders,2025-11-11,2026-01-11,November,11,1802736,2073112,0,14
P0476,Project_476,West,Commercial,Finishing,In Progress,Safety,NextGen Infra,2025-05-21,2025-11-22,May,5,583510,697024,8,5
P0477,Project_477,West,Residential,Finishing,Completed,Engineering,BlueRock,2025-08-05,2026-02-03,August,8,1334072,1149165,5,7
P0478,Project_478,South,Commercial,Design,Pending,Procurement,Titan Builders,2025-06-11,2026-02-02,June,6,217655,185907,3,7
P0479,Project_479,North,Commercial,Construction,Pending,Safety,UrbanCon,2025-10-08,2026-02-12,October,10,697316,658470,5,6
P0480,Project_480,South,Commercial,Construction,Completed,Safety,PrimeBuild,2025-07-06,2026-04-10,July,7,1040103,985882,2,10
P0481,Project_481,South,Industrial,Finishing,Completed,Engineering,MegaConstruct,2025-05-01,2025-11-19,May,5,1106428,1272069,3,3
P0482,Project_482,South,Commercial,Design,Completed,Safety,Titan Builders,2025-03-10,2025-12-23,March,3,1981299,2121432,8,12
P0483,Project_483,East,Commercial,Construction,In Progress,Procurement,NextGen Infra,2025-01-25,2025-07-05,January,1,407565,444934,0,4
P0484,Project_484,East,Commercial,Finishing,Completed,Safety,PrimeBuild,2025-05-14,2025-10-13,May,5,955617,999692,4,6
P0485,Project_485,North,Commercial,Design,In Progress,Procurement,NextGen Infra,2025-04-12,2025-11-05,April,4,1407738,1516771,8,3
P0486,Project_486,East,Commercial,Construction,Pending,Procurement,Titan Builders,2025-08-17,2026-05-31,August,8,364432,358373,4,8
P0487,Project_487,South,Residential,Finishing,In Progress,Safety,NextGen Infra,2025-10-20,2026-04-01,October,10,1980273,2311920,1,3
P0488,Project_488,East,Residential,Construction,In Progress,Procurement,MegaConstruct,2025-12-30,2026-05-07,December,12,1469584,1580722,4,15
P0489,Project_489,West,Commercial,Finishing,Pending,Procurement,Titan Builders,2025-07-31,2025-11-10,July,7,585637,672881,2,12
P0490,Project_490,South,Industrial,Construction,Pending,Procurement,BuildCorp,2025-04-18,2025-07-29,April,4,1032664,914995,1,15
P0491,Project_491,West,Industrial,Design,Completed,Safety,BlueRock,2025-02-12,2025-05-09,February,2,750402,800180,1,11
P0492,Project_492,West,Commercial,Design,Completed,Procurement,MegaConstruct,2025-08-15,2026-03-23,August,8,465104,416708,2,1
P0493,Project_493,North,Industrial,Construction,In Progress,Safety,Titan Builders,2025-10-04,2026-07-30,October,10,771294,803681,2,12
P0494,Project_494,South,Industrial,Finishing,In Progress,Procurement,NextGen Infra,2025-08-11,2026-02-21,August,8,1541729,1655562,4,15
P0495,Project_495,East,Commercial,Finishing,Completed,Engineering,Titan Builders,2025-06-07,2025-11-07,June,6,1064454,1001579,4,1
P0496,Project_496,North,Industrial,Design,In Progress,Safety,Titan Builders,2025-10-01,2025-12-02,October,10,1642358,1926044,7,5
P0497,Project_497,North,Commercial,Construction,Pending,Engineering,ABC Ltd,2025-10-08,2026-03-12,October,10,595462,591953,8,7
P0498,Project_498,West,Residential,Design,Pending,Procurement,Skyline Co,2025-07-13,2025-11-06,July,7,751509,659617,3,9
P0499,Project_499,East,Commercial,Finishing,Pending,Procurement,MegaConstruct,2025-07-31,2025-11-16,July,7,1989881,1739081,2,5
P0500,Project_500,North,Industrial,Construction,Pending,Safety,MegaConstruct,2025-12-25,2026-08-01,December,12,1231790,1127982,0,3
